title,label,label_score
jaksa duit rp juta kivlan zen modal matamatai wiranto luhut,non-clickbait,0
jaksa kan senpipeluru tajam beli kivlan zen cs rinciannya,clickbait,1
dishub polda data butuh etle area luas ganjil genap,non-clickbait,0
polisi olah tkp celaka maut tewas orang nganjuk,non-clickbait,0
uang miliar rupiah milik pemprov sumut hilang polisi turun tangan,non-clickbait,0
menkum ham cabut paspor veronica koman tentu,non-clickbait,0
quality time keluarga manfaat,clickbait,1
menteri jokowi profesional kandidat,clickbait,1
lipi desak jokowi tolak revisi uu kpk lumpuh kerja kpk,non-clickbait,0
serang tutup motor trotoar tilang,non-clickbait,0
bareskrim tangkap bobol rugi bank bumn rp miliar,non-clickbait,0
bekal caleg pilih demokrat sby arah tutup,non-clickbait,0
aktivis perempuan nilai ruu pks sandera ruu kuhp,non-clickbait,0
identifikasi korban celaka cipularang duga perempuan,non-clickbait,0
siswi smk bandung tikam sekolah tolak cinta laku,non-clickbait,0
pilih capim kpk cacat yuridis saran samad dpr,clickbait,1
kunjung penuh panggil veronica koman dpo,non-clickbait,0
pria misterius jubah putih viral sumut ingat tuhan murka,clickbait,1
adik hoax habibie tinggal mbok gitu iseng,non-clickbait,0
jk bicara kpk sp contoh rj lino,non-clickbait,0
tidur siang kali minggu kurang serang jantung,non-clickbait,0
polisi simpul bos sembako cilegon tewas bunuh,non-clickbait,0
tengok pantai mustika banyuwangi,non-clickbait,0
asap pekat selimut riau pemprov gelar salat hujan besok,non-clickbait,0
kontrak politik capim kpk fahri taat undangundang,non-clickbait,0
caketum hipmi usaha ri jiwa nasionalisme kuat,non-clickbait,0
kpu solo aju dana rp m pilwalkot,non-clickbait,0
utus khusus presiden gelar munas tokoh antaragama,non-clickbait,0
panggil veronica koman polisi tunggu pekan,non-clickbait,0
kpk tetap eks jabat pertamina energy sangka mafia migas,non-clickbait,0
peluk istri jalan sidang kivlan zen menang,non-clickbait,0
video porno sumedang sebar per pria motif,clickbait,1
icw taruh kpk jokowi,non-clickbait,0
ungkap video porno sumedang peran pasang selingkuh,clickbait,1
bocah bekas tewas bully kpad imbau keluarga lapor,non-clickbait,0
jk revisi uu kpk tuntut koordinasi jaksa agung,non-clickbait,0
komisi iii dpr pasti tampung masuk capim kpk,non-clickbait,0
tokoh papua undang jokowi eks timses istana,non-clickbait,0
wagub jabar kerja lingkung pemprov jabar daftar bpjs tk,non-clickbait,0
anak cucu kumpul teman bj habibie rspad gatot soebroto,non-clickbait,0
garagara puntung rokok hektare lahan sulteng bakar,non-clickbait,0
topan faxai hantam jepang tumpang telantar bandara narita,non-clickbait,0
gajah amuk festival agama sri lanka luka,non-clickbait,0
waduk pacal bojonegoro surut lahan tani camat kering,non-clickbait,0
komisi iii dpr gelar rdpu tampung masuk seleksi capim kpk,non-clickbait,0
detikdetik cekam ampo rumah makan gratis duafa bogor,clickbait,1
hut brigif raider ziarah makam bupati galuh ciamis,non-clickbait,0
pesan kpk jokowi bangun capai gerogot korupsi,non-clickbait,0
guru muhammadiyah indonesia tolak revisi uu kpk,non-clickbait,0
langgar tilang perdana luas ganjilgenap kemarin,non-clickbait,0
rawat intensif rspad bj habibie salat baring,non-clickbait,0
polrestabes surabaya parkir tingkat,non-clickbait,0
pek lantik anggota dprd jabar gadai sk bank,non-clickbait,0
poyuono pemerintahdpr revisi uu kpk mudah rampok uang negara,non-clickbait,0
ratus mahasiswa surabaya dukung revisi uu kpk,non-clickbait,0
abraham samad jokowi dpr setop bahas revisi uu kpk,non-clickbait,0
satgas karhutla investigasi sebab bakar kebun tebu ptpn vii ogan ilir,non-clickbait,0
fenomena anggota dewan gadai sk dprd surabaya,non-clickbait,0
anies anggap baik udara jakarta ganjil genap instan,non-clickbait,0
tepis kabar bully polisi bocah tinggal bekas akibat tetanus,non-clickbait,0
tokoh papua bicara jokowi saing duduk lingkung,non-clickbait,0
kritik revisi uu kpk rektor ipbpemuka agama tolak lemah kpk,non-clickbait,0
galang biaya kota,non-clickbait,0
pasu kostrad kerah tangkap laku karhutla riau,non-clickbait,0
cerita warga jepara mandi hari akibat kering,non-clickbait,0
kendara listrik bebas atur ganjilgenap alas,clickbait,1
satusatunya korban selamat celaka maut nganjuk ciduk narkoba,non-clickbait,0
jokowi terbang aceh wamena jauh london istanbul,non-clickbait,0
home industry arak sidoarjo gerebek orang aman,non-clickbait,0
jokowi papua telat oktober resmi jembatan holtekamp,non-clickbait,0
ganjil genap anies guna angkut capai rekor,non-clickbait,0
trump umum runding damai talib mati,non-clickbait,0
bijak gila jokowi,clickbait,1
jokowi janji sarjana papua bumnperusahaan,non-clickbait,0
bayi kakitangannya putus tangerang serah polisi,non-clickbait,0
usut kpk mafia migas kait petral,non-clickbait,0
banyuwangi awat kolaborasi bikin sehat usaha wisata warga,non-clickbait,0
korban celaka maut nganjuk dpo narkoba,non-clickbait,0
kabut asap bikin terbang banjarmasin ganggu,non-clickbait,0
tokoh papua jokowi bangun istana presiden papua,non-clickbait,0
jaksa kpk ma tolak pk novanto,non-clickbait,0
pemkot pekanbaru libur sd smp kabut asap,clickbait,1
video porno pasang dewasa geger sumedang,non-clickbait,0
tata umroh urut baca,non-clickbait,0
persen dewan ciamis gadai sk ketua curi uang negara,non-clickbait,0
putar celaka maut jalur nganjukmadiun tewas orang,non-clickbait,0
pj walkot makassar rilis edar antisipasi syiah rekomendasi mui,non-clickbait,0
pimpin ibas demokrat gelar bekal anggota legislatif,non-clickbait,0
jokowi istana presiden papua bangun,non-clickbait,0
jokowi undang tokoh papua istana,non-clickbait,0
china geram nyata menlu as laku uighur,non-clickbait,0
oso revisi uu kpk lemah,non-clickbait,0
langgar tilang jakbar alas ganjil genap,non-clickbait,0
jenguk bj habibie anies moga allah turun mukjizat,non-clickbait,0
gubernur khofifah gandeng isei kembang one pesantren one product,non-clickbait,0
sby jenguk bj habibie rspad gatot soebroto,non-clickbait,0
hut tni al tingkat sdm indonesia maju,non-clickbait,0
buka luwur sunan kudus ribu paket nasi berkat bagi,non-clickbait,0
pdip nilai pidato kontemplasi sby jalan ide jokowi,non-clickbait,0
ribu hektare lahan bakar udara palembang sehat,clickbait,1
lemah kpk demokrasi,non-clickbait,0
kpk panggil wakil ketua komisi xi kait anggota dpr fpan,non-clickbait,0
kabut asap pekat riau ganggu terbang,non-clickbait,0
tugas cek pajak langgar ganjil genap bagibagi cokelat,non-clickbait,0
tim ajar dki raih juara olimpiade metropolis moskow,non-clickbait,0
status sangka veronica koman soal polri praperadilan,non-clickbait,0
viral bocah bekas tewas akibat bully ketua rt,clickbait,1
pemkab ponorogo aju formasi cpns pk,non-clickbait,0
kemudi langgar ganjil genap jaksel,non-clickbait,0
ganjil genap dishub sosialisasi maksimal,non-clickbait,0
suasana antre ngalap berkat buka luwur sunan kudus,non-clickbait,0
dishub dki luas ganjil genap tingkat guna sepeda motor,non-clickbait,0
anggota dprd banten ramairamai gadai sk kemendagri,clickbait,1
asap karhutla parah jarak pandang riau meter,non-clickbait,0
luas ganjil genap dishub volume lintas turun signifikan,non-clickbait,0
aktor intelektual rusuh papua cari satusatu,non-clickbait,0
curhatan korban bully pansel kpk komisi iii,non-clickbait,0
kpk umum sangka mafia migas kait petral siang,non-clickbait,0
puntung rokok balut bekas ratus kilo sampah pantai gold coast,non-clickbait,0
asap pekat kepung pekanbaru polantas bagi masker kendara,non-clickbait,0
santri probolinggo sambut muharam pawai obor,non-clickbait,0
yuk bantu jokowi cari menteri ikut polling detikcom,clickbait,1
beda eks komisioner kpai polemik pb djarum,non-clickbait,0
ratus keluarga queensland ungsi hindar bakar kian buruk,non-clickbait,0
terap tilang elektronik busway target oktober,non-clickbait,0
dangdut maut tewas pria bekas laku tangkap,non-clickbait,0
cerita ngeri bocah bogor bunuh sodomi,non-clickbait,0
contoh motor serang pejal kaki trotoar maaf,non-clickbait,0
bakar gudang jaring padam rugi taksir rp m,non-clickbait,0
atas kabut asap indonesia malaysia rencana hujan buat,non-clickbait,0
hindar razia wanita duga psk makassar sembunyi selokan,non-clickbait,0
polisi bongkar dagang wanita kepri korban jadi psk,non-clickbait,0
gegara potong kabel anies somasi apjatel,non-clickbait,0
anggota baleg dpr revisi uu kpk imbang cegah tindak,non-clickbait,0
john chardon bukti salah mati istri novy,non-clickbait,0
kpai kembang bakat bulutangkis jalan sesuai regulasi,non-clickbait,0
asrama mahasiswa papua lempar karung isi ular polisi hoaks,non-clickbait,0
harap mati kpk yasonna hatihati,non-clickbait,0
korut nyata temu as bahas denuklirisasi september,non-clickbait,0
bmkg prediksi cuaca jakarta cerah,non-clickbait,0
polri terus aju red notice veronica koman interpol,non-clickbait,0
personel polres jakbar satpam ampg pro bamsoet polisi,non-clickbait,0
asap pekat siswa sd pekanbaru sekolah,non-clickbait,0
edar isu habibie tinggal keluarga hoax,non-clickbait,0
anggota dprd banten gadai sk komisi ii dpr tutup utang kampanye,clickbait,1
komisi iii dpr revisi uu kpk barang surpres jokowi,non-clickbait,0
tani blitar biar tomat busuk harga anjlok,non-clickbait,0
dishub dki luas ganjil genap baik kualitas udara,non-clickbait,0
sby ajak rakyat dukung jokowi istana bentuk santun politik,non-clickbait,0
asyura pemkot makassar rilis edar antisipasi sebar syiah,non-clickbait,0
polisi periksa kad sangka cium pipi staf selfie pekan,non-clickbait,0
adu tetap sangka veronica koman komnas ham,clickbait,1
bahas seleksi capim kpk komisi iii temu koalisi masyarakat sipil,non-clickbait,0
hasil mediasi pt ka warga blitar lintas bidang portal,non-clickbait,0
pabrik tiner kalideres bakar mobil damkar kerah,non-clickbait,0
sby ajak rakyat dukung jokowi ppp simpatik negarawan,non-clickbait,0
korban cium pipi selfie tolak damai sangka hukum,non-clickbait,0
jenguk bj habibie sby batal buka temu nasional fraksi demokrat,non-clickbait,0
kualitas udara buruk libur siswa sd jambi panjang,non-clickbait,0
curhat warga desa digital sukabumi buru sandi wifi gratis,non-clickbait,0
bus transj tabrak mobil lalin menteng arah rasuna said macet,non-clickbait,0
langgar jalur luas ganjil genap jakpus,non-clickbait,0
besok polisi panggil tum fpi kait duga makar,non-clickbait,0
viral video korban celaka maut nganjuk bikin video tabrak,clickbait,1
anggota dprd banten ramairamai gadai sk pimpin ranah pribadi,non-clickbait,0
bupati bogor pemprov dki bantu tangan sampah kalibaru,non-clickbait,0
polisi cek benar bocah bekas tewas akibat bully,non-clickbait,0
ibas bangga kerja sby caleg pilih demokrat jadi contoh,non-clickbait,0
korut tembak proyektil kenal tawar dialog as,non-clickbait,0
airlangga tegas golkar inisiator revisi uu kpk,non-clickbait,0
kabin budi gunawan buka temu jokowi tokoh papua istana,non-clickbait,0
pimpin hong kong ingat as campur aksi demo,non-clickbait,0
pj walkot makassar edar antisipasi syiah sikap tenang,non-clickbait,0
poin aspirasi tokoh papua temu jokowi istana,clickbait,1
kpk tolak revisi uu romli analogi servis mobil,non-clickbait,0
cerita jokowi kali papua provinsi maksimal kali,non-clickbait,0
mantan atlet artis netizen ramairamai bela pb djarum,non-clickbait,0
viral rampok celurit satron rumah makan gratis duafa bogor,clickbait,1
aspirasi tokoh papua jokowi generasi muda hukum,non-clickbait,0
usaha usaha startup jerman raih talenta baik,non-clickbait,0
air pdam ribu warga mampet dampak bangun alunalun suroboyo,non-clickbait,0
menlu bicara diplomasi digital kerja ekonomi,non-clickbait,0
perhati namanama kandidat menteri jokowi,clickbait,1
barang impor izin nila rp miliar musnah,non-clickbait,0
kerja butuh tambang australia otomatisasi marak,clickbait,1
polres sumedang buru sebar video porno pasang dewasa,non-clickbait,0
kpu kendala kpu daerah usul nphd pilkada,non-clickbait,0
polres bogor kejar rampok celurit rumah makan gratis duafa,non-clickbait,0
kemarau warga bandung barat mandi jenazah pakai galon air,non-clickbait,0
airlanggasiswono bicara revisi uu kpk seleksi capim,non-clickbait,0
tum fpi panggil kait makar besok acara jadwal ulang,non-clickbait,0
kepala bppt doa bj habibie eyang intelektual pulih,non-clickbait,0
acara kivlan zen jalan sidang ditunggutunggu,clickbait,1
hotel kafe rumah sakit surabaya batas air dampak pdam mampet,non-clickbait,0
ptun pemkot cimahi batal imb guest house setra duta,non-clickbait,0
pimpin bank bumn purbalingga sangka kredit fiktif rp m,non-clickbait,0
tokoh papua benny wenda hak atur nkri,non-clickbait,0
bakar rumah grobogan pria derita stroke tewas bakar,non-clickbait,0
lahan istana presiden papua sertifikat,non-clickbait,0
kritik pb djarum kpai fokus urus anak jalan,non-clickbait,0
alas anggota dprd banten gadai sk renovasi rumahbayar kuliah anak,non-clickbait,0
urus golkar protes ubah prosedur rapat korbid,non-clickbait,0
pemkot bandung evaluasi program street library gagas ridwan kamil,non-clickbait,0
poyuono ajak rakyat kepung dpristana tolak revisi uu kpk,non-clickbait,0
dishub dki uji coba ganjil genap minggu kemarin kendara turun,non-clickbait,0
jalan sidang kivlan zen adil pakai kursi roda,non-clickbait,0
orang tewas drama tembak keluarga belanda,non-clickbait,0
banyuwangi luncur kuliner pintar dagang pakai kompor induksi,non-clickbait,0
pasang status single hidup novy chardon,clickbait,1
anggota dprd surabaya gadai sk bank ketua wajar,non-clickbait,0
lapor cabut mobil goyang halaman adil damai,non-clickbait,0
siswi smk bandung lari rs gegara tikam sekolah,non-clickbait,0
sidang gugat ikan koi mati saksi pln bicara,clickbait,1
putra bj habibie baik,non-clickbait,0
puro pakualaman gelar upacara hajad dalem labuh pantai glagah,non-clickbait,0
muka air susut bekas desa dasar waduk gajah mungkur muncul,non-clickbait,0
panwaslu usul nphd pilkada,non-clickbait,0
pdip jatim buka daftar pilkada september,non-clickbait,0
anggar erp masuk apbd dki,non-clickbait,0
celaka tol cipularang truk bakar km,non-clickbait,0
truk oleng tanjak emen tumpang tewas,non-clickbait,0
jk efek kpk jabat bumn hatihati takut,non-clickbait,0
rampok rm gratis duafa bogor makan,non-clickbait,0
opsi pdam surabaya ribu langgan nikmat air,clickbait,1
jokowi mekar wilayah papua wiranto masuk,non-clickbait,0
google pajak media digital asing,non-clickbait,0
alas anggota dprd jabar gadai sk utang kampanyebeli rumah,non-clickbait,0
ibas yudhoyono kpk lemah kuat,non-clickbait,0
fenomena anggota dprd gadai sk bank gejala,clickbait,1
kivlan zen dakwa senpi ilegal peluru tajam,non-clickbait,0
jaksa duit ratus juta habil marati kivlan zen cs,non-clickbait,0
pesan habil marati duit senpi kivlan cs bangsa semangat,non-clickbait,0
remaja asah alami buta ngaku sering main game online,non-clickbait,0
kivlan zen kaliber tikus cari senpi milu,non-clickbait,0
sangka mafia migas bikin tampung duit suap british virgin island,non-clickbait,0
mafia migas eks bos petral kpk geledah lokasi,non-clickbait,0
jk jokowi kirim surat presiden dpr bahas revisi uu kpk,non-clickbait,0
puluh rumah bantaran bengawan solo ancam bawa longsor,non-clickbait,0
aju eksepsi kivlan zen dakwa,non-clickbait,0
komisi iii dpr ipw cs dukung hasil pansel capim kpk,non-clickbait,0
wali kota cirebon instansi swasta pasang cctv intai jahat,non-clickbait,0
dampak tol desar jalan tanah depok lebar,non-clickbait,0
selundup ekor burung lindung hasil gagal,non-clickbait,0
hantu nikmat imajinasi,non-clickbait,0
angka aman mangkas pph korporasi,non-clickbait,0
pasang mesum buleleng bal ciduk operasi yustisi,non-clickbait,0
ratus karyawan pabrik boneka sukabumi racun makan,non-clickbait,0
banyuwangi raih harga kemenkum ham,non-clickbait,0
polisi selidik veronika koman alir dana,non-clickbait,0
gubernur edy rahmayadi sungai deli rusia,non-clickbait,0
aku bos investasi bodong mojokerto rugi korban rp m,non-clickbait,0
kabar denda rp juta beli zona merah pkl bandung,clickbait,1
sidang habil marati tunda garagara damping acara,non-clickbait,0
jadwal ulang periksa polisi tunggu hadir tum fpi besok,non-clickbait,0
garbi partai gelora fahri hamzah gabung,non-clickbait,0
dana beli senpi kivlan habil marati fitnah,non-clickbait,0
jk banyak ott kpk prestasi,non-clickbait,0
anggota komisi iii dpr ngaku lobi dukung capim kpk terima,non-clickbait,0
aku hamil wanita blitar adu kades polisi,non-clickbait,0
sandang disabilitas jaring bacabupbacawabup jember,non-clickbait,0
tuduh hamil perempuan muda kades booking,clickbait,1
aksi mahasiswa uns ingat mati munir jokowi serius,non-clickbait,0
fadli zon pasti sandiaga gabung gerindra,non-clickbait,0
celaka maut nganjuk tewas orang saksi periksa,non-clickbait,0
menteri lhk kabut asap malaysia bilang indonesia,non-clickbait,0
munarman kertanegara april tum fpi bingung panggil polisi,non-clickbait,0
warga wonogiri tewas bakar sih pekarang,non-clickbait,0
dprd usul posisi wagub dki jakarta orang,non-clickbait,0
polisi ganjil genap jl rs fatmawati langgar turun,non-clickbait,0
buang bayi enas tangerang mahasiswi,non-clickbait,0
bantah media malaysia bmkg asap karhutla lintas kuala lumpur,non-clickbait,0
gabung gerindra sandiaga bicara prabowo,non-clickbait,0
intelijen militer jerman luas lidi pengaruh ekstrem kanan,non-clickbait,0
duga korban tabrak lari sat tewas tol tb simatupang pagi,non-clickbait,0
hinca sby kader pd pasti perintah,non-clickbait,0
putra bj habibie kritis stabil istirahat,non-clickbait,0
mobil crane ambruk timpa kapal labuh semarang,non-clickbait,0
geram keluarga hoax bj habibie tinggal dunia,clickbait,1
anggota komisi iii dpr kriteria nilai capim kpk,non-clickbait,0
pria oknum pns duga cabul gadis umur sleman,non-clickbait,0
buka career expo gubernur khofifah kenal mobile training unit,non-clickbait,0
putra habibie lemas aktivitas,non-clickbait,0
laku leceh seksual krl aman stasiun duren kalibata,non-clickbait,0
ketua dpr tangan papua progresif,non-clickbait,0
bakar landa lereng gunung merbabu,non-clickbait,0
eks gubernur aceh abdullah puteh vonis penjara tipu,non-clickbait,0
duga tipu rp m eks ketua hipmi sultra tangkap,non-clickbait,0
tum fpi bingung panggil makar april polisi,clickbait,1
sandiaga balik gerindra,non-clickbait,0
keluarga batas kunjung tamu jenguk bj habibie,non-clickbait,0
modal ganjil genap anies rang polusi tahap,non-clickbait,0
bunuh begal malak remaja malang jaga hormat pacar,non-clickbait,0
vonis bui eks gubernur aceh abdullah puteh banding,non-clickbait,0
air pdam mampet risma nggak gitu telkom blackout,non-clickbait,0
latih gabung paskhas tni au terjun rebut bandara banyuwangi,non-clickbait,0
taman nasional gunung merbabu pantau bakar hutan,non-clickbait,0
kendala laa stasiun klender krl jatinegaracakung ganggu,non-clickbait,0
acara hadir sidang gugat praperadilan kivlan zen tunda,non-clickbait,0
gempa m palu,non-clickbait,0
ormas garbi transformasi,non-clickbait,0
kendala pemprov jatim tertib tambang pasir sungai brantas,non-clickbait,0
mpr ramai festival konstitusi anti korupsi ugm,non-clickbait,0
pemkot parepare gelar zikir doa sembuh bj habibie,non-clickbait,0
revisi uu kpk bikin anggota dpr kebal hukum,non-clickbait,0
wagub jabar uu sesal tusuk santri cirebon,non-clickbait,0
bayi enas tangerang kubur ibu buang,non-clickbait,0
kualitas udara kota jambi malam masuk kategori bahaya,non-clickbait,0
harap sri mulyanikomarudin hidayat rektor ui,clickbait,1
pemprov dki dana bangun park and ride bekas,non-clickbait,0
kpk respons tuding zalim adik imam nahrawi bukti,non-clickbait,0
video detikdetik mahasiswa rusak pagar dpr,clickbait,1
kpk dalam alir duit suap eks menpora imam nahrawi,non-clickbait,0
pertamina kucur dana rp juta atas bakar riau,non-clickbait,0
celaka maut lampung tewas orang,clickbait,1
sebab sulit padam bakar gunung sumbing,clickbait,1
fit and proper test capim kpk gilir i nyoman wara uji,non-clickbait,0
jasmas surabaya anggota dprd sidi objektif,non-clickbait,0
temu bilateral awal giat menlu high level week sidang pbb,non-clickbait,0
malammalam sekdestni cek gunung sampah pinggir kali ciliwung cilebut,non-clickbait,0
stasiun mrt tampil ragam seni budaya indonesia,non-clickbait,0
menlu indonesiatimor lesteaustralia temu pbb bahas,clickbait,1
tangkap rusuh slip jakbar polisi luka pukul massa,non-clickbait,0
lokasi duga mahasiswa halu oleo kendari tembak,clickbait,1
kapolrestabes medan hoax tinggal,non-clickbait,0
massa pro revisi uu demo kpk serta korlap,non-clickbait,0
polisi prioritas baik rumah warga rusak,non-clickbait,0
randi mahasiswa halu oleo tewas tembak imm aksi tutup jl menteng raya,non-clickbait,0
uang rp m raib jabat pemprov sumut nonaktif,non-clickbait,0
massa aksi kpk bubar,non-clickbait,0
duka tgb kenang beasiswa habibie kuliah kairo mesir,non-clickbait,0
kesah rkuhp tunda perintah sosialisasi,non-clickbait,0
polri kronologi rusuh maut jayapura aparat serang,non-clickbait,0
tugas dishub lapor aksi pukul driver ojol senen polisi,non-clickbait,0
purnomoteguh daftar cawalkot solo peluang gibran tutup,clickbait,1
panas mahasiswa tolak uu kpk barurkuhp lempar botoldorong pagar,non-clickbait,0
rapat gabung pimpin mpr sepakat ubah tata tertib rinciannya,clickbait,1
kelola dagang hitech mall bayar listrik air,non-clickbait,0
rusuh wamena orang warga tewas,non-clickbait,0
kordum gejayan panggil bantah aksi tunggang penting politik,non-clickbait,0
kpai polri kejar sebar undang ajar aksi dpr,non-clickbait,0
waria spesialis bobol vila bal tuntut penjara,non-clickbait,0
resah gelandang denda anak punk demo jalan gatot subroto,non-clickbait,0
jauh pantai warga ngungsi datar gegara gempa ambon,non-clickbait,0
warga riau dakwa narkoba vonis mati pn medan,non-clickbait,0
polisi tetap sangka bakar lahan sumsel,non-clickbait,0
polres banyuwangi gelar expo kendara warga hilang,non-clickbait,0
tewas mahasiswa halu oleo kendari kritis,non-clickbait,0
gelombang demo indonesia tolak uu kpk ruu jokowi lempar dpr,non-clickbait,0
bubar serta aksi gejayan panggil pungut sampah,non-clickbait,0
pemkot surabaya tawar kelola hitech mall rp m,non-clickbait,0
panas mahasiswapendemo prouu kpk lempar botol dpr,clickbait,1
ribu warga bantul gelar kirab siwur jelang upacara nguras enceh,non-clickbait,0
satgas karhutla pemprov dki kirim kalteng,non-clickbait,0
jelang pilkada warga sleman rekam ektp,non-clickbait,0
demo tolak ruu kuhp gelar ribu mahasiswa tulungagung,non-clickbait,0
lsm safenet ruu kks bikin bssn lembaga superbody,clickbait,1
polri dalam mahasiswa halu oleo tewas tembak demo,non-clickbait,0
tutup usia profesor begawan hukum lihat ruu kuhp sah,non-clickbait,0
bulan polisi buru rampok rm gratis duafa bogor,non-clickbait,0
tangki air padam api tanah ponorogo,non-clickbait,0
kader tewas demo kendari imm kecam keras tindak represif,non-clickbait,0
gunung merbabu bara ha lahan hangus bakar,non-clickbait,0
polisi pasang police line lahan tanah keluar api,non-clickbait,0
disdik sulsel ajar demo aman polda,non-clickbait,0
polisi tenang hadap demo mahasiswa prabowo contoh prancis,non-clickbait,0
alazhar doa sembuh faisal amir mahasiswa kampus hadir,non-clickbait,0
konvoi ajar serang polisi medan orang aman,non-clickbait,0
dokter pasti mahasiswa halu oleo tewas tembak,non-clickbait,0
mahasiswa universitas halu oleo tewas tembak demo,non-clickbait,0
bmkg prediksi musim kemarau lanjut november,non-clickbait,0
ylbhi mahasiswa kontak demo dpr polri,clickbait,1
ricuh demo unhas polisi aman massa aksi,non-clickbait,0
duga dana aktivitas terorisme prt indonesia tahan singapura,non-clickbait,0
